,sbj,rt,ch,value_diff,gaze_diff,right
99,0,1.6124448773860711,1.0,0.0,-0.5,0
100,1,1.8296552485226865,0.0,0.0,-0.75,0
101,1,1.416655248522732,2.0,2.0,-0.75,1
102,1,0.7866552485227589,0.0,-4.0,-0.5,0
103,1,1.3296552485227415,2.0,2.0,0.0,1
104,1,0.825655248522759,0.0,-2.0,-0.75,0
105,1,2.1646552485226493,0.0,-4.0,-0.25,0
106,1,1.4216552485227314,1.0,0.0,-0.25,0
107,1,2.400655248522624,2.0,0.0,-0.5,1
108,1,1.1736552485227587,2.0,4.0,0.0,1
109,1,0.857655248522759,1.0,-4.0,-0.5,0
110,1,1.3306552485227414,2.0,-4.0,-0.5,1
111,1,1.878655248522681,1.0,0.0,-0.5,0
112,1,1.9646552485226716,0.0,-4.0,-0.75,0
113,1,2.716655248522589,1.0,-2.0,-0.5,0
114,1,1.1406552485227592,0.0,-2.0,-1.0,0
115,1,1.5196552485227206,2.0,2.0,0.25,1
116,1,1.7496552485226953,0.0,4.0,-0.5,0
117,1,1.5656552485227155,2.0,0.0,-0.75,1
118,1,1.1186552485227592,2.0,2.0,-0.25,1
119,1,3.5026552485225024,1.0,-2.0,-0.5,0
120,1,1.7316552485226973,0.0,0.0,-0.25,0
121,1,1.9626552485226718,0.0,0.0,-0.25,0
122,1,2.1626552485226496,0.0,0.0,-0.75,0
123,1,2.009655248522667,2.0,0.0,-0.5,1
124,1,1.9866552485226692,2.0,4.0,-0.25,1
125,1,1.1556552485227591,0.0,-4.0,-0.5,0
126,1,3.588655248522493,2.0,0.0,0.0,1
127,1,2.6686552485225943,1.0,2.0,-0.25,0
128,1,1.1686552485227593,0.0,2.0,-0.5,0
129,1,0.9756552485227591,0.0,-4.0,-0.75,0
130,1,2.669655248522594,2.0,4.0,0.0,1
131,1,1.9856552485226693,1.0,2.0,-0.75,0
132,1,2.306655248522634,1.0,-4.0,-0.25,0
133,1,1.9456552485226737,2.0,6.0,0.0,1
134,1,1.8116552485226884,0.0,-2.0,-0.25,0
135,1,2.418655248522622,0.0,-2.0,-1.0,0
136,1,2.1106552485226553,1.0,2.0,-0.5,0
137,1,3.3116552485225235,1.0,-2.0,-0.5,0
138,1,4.242655248522453,2.0,2.0,-0.25,1
139,1,2.754655248522585,0.0,-2.0,-0.5,0
140,1,2.5236552485226103,1.0,2.0,-0.25,0
141,1,1.606655248522711,0.0,-2.0,-0.5,0
142,1,1.9936552485226684,1.0,4.0,-0.25,0
143,1,1.633655248522708,1.0,-4.0,-0.25,0
144,1,1.5126552485227214,2.0,6.0,0.0,1
145,1,1.461655248522727,0.0,4.0,0.0,0
146,1,1.103655248522759,2.0,-4.0,-0.5,1
147,1,3.387655248522515,1.0,-2.0,-0.5,0
148,1,1.606655248522711,0.0,2.0,-0.25,0
149,1,1.0946552485227592,0.0,0.0,0.0,0
150,1,1.9736552485226706,2.0,2.0,0.0,1
151,1,2.015655248522666,2.0,4.0,-0.5,1
152,1,1.6106552485227106,1.0,-2.0,-0.75,0
153,1,1.34265524852274,0.0,-2.0,-0.5,0
154,1,2.030655248522664,1.0,-4.0,-0.25,0
155,1,3.15965524852254,2.0,-2.0,0.0,1
156,1,4.211655248522443,0.0,-2.0,0.0,0
157,1,2.0516552485226622,0.0,0.0,-0.75,0
158,1,2.045655248522663,2.0,4.0,-0.5,1
159,1,1.0306552485227591,2.0,4.0,1.0,1
160,1,1.1336552485227593,2.0,6.0,0.25,1
161,1,3.1636552485225398,2.0,4.0,-0.25,1
162,1,3.1766552485225383,2.0,-2.0,-0.75,1
163,1,1.4096552485227327,0.0,-6.0,-0.5,0
164,1,1.3776552485227362,1.0,-4.0,-0.25,0
165,1,1.61565524852271,0.0,0.0,-0.5,0
166,1,0.852655248522759,0.0,0.0,-0.5,0
167,1,2.5496552485226074,2.0,0.0,-0.5,1
168,1,1.471655248522726,1.0,-2.0,-0.75,0
169,1,1.1006552485227592,0.0,-4.0,-0.75,0
170,1,2.834655248522576,2.0,4.0,0.25,1
171,1,2.654655248522596,0.0,0.0,-0.25,0
172,1,1.669655248522704,2.0,0.0,-0.25,1
173,1,1.389655248522735,2.0,6.0,0.25,1
174,1,2.6036552485226014,2.0,0.0,0.0,1
175,1,2.2776552485226373,1.0,0.0,-0.25,0
176,1,1.115655248522759,2.0,2.0,0.25,1
177,1,3.5286552485224996,2.0,-2.0,-0.5,1
178,1,0.913655248522759,1.0,2.0,-0.5,0
179,1,2.06865524852266,2.0,4.0,-0.25,1
180,1,3.442655248522509,2.0,2.0,-0.5,1
181,1,1.9406552485226742,0.0,0.0,-0.25,0
182,1,1.6916552485227017,0.0,-2.0,-0.5,0
183,1,1.7856552485226913,1.0,-2.0,-0.5,0
184,1,1.6676552485227043,1.0,-2.0,-0.25,0
185,1,0.917655248522759,2.0,6.0,0.25,1
186,1,1.0526552485227592,2.0,4.0,0.5,1
187,1,1.4116552485227325,2.0,2.0,-0.25,1
188,1,1.055655248522759,0.0,-2.0,-0.75,0
189,1,2.317655248522633,0.0,-2.0,0.0,0
190,1,1.2016552485227556,2.0,6.0,-0.25,1
191,1,1.7016552485227006,1.0,-2.0,-0.25,0
192,1,1.224655248522753,2.0,2.0,-0.25,1
193,1,2.7656552485225836,1.0,0.0,-0.25,0
194,1,2.002655248522667,2.0,2.0,-0.25,1
195,1,4.184655248522434,0.0,-4.0,-0.5,0
196,1,2.263655248522639,1.0,-2.0,-0.5,0
197,1,1.2596552485227492,2.0,2.0,-0.25,1
198,2,1.9383015437125735,1.0,-2.0,0.25,0
199,2,0.9793015437126162,1.0,0.0,-0.25,0
200,2,1.4213015437126166,2.0,2.0,0.0,1
201,2,1.6183015437126087,0.0,-2.0,0.25,0
202,2,1.8733015437125806,2.0,0.0,-0.5,1
203,2,3.3133015437124222,1.0,-2.0,-0.75,0
204,2,2.1783015437125473,1.0,-2.0,-0.75,0
205,2,1.8813015437125797,1.0,-2.0,-0.5,0
206,2,3.042301543712452,1.0,-2.0,-0.5,0
207,2,1.3653015437126166,2.0,2.0,0.0,1
208,2,2.3273015437125304,1.0,-2.0,-0.25,0
209,2,3.359301543712417,2.0,2.0,-0.5,1
210,2,1.1293015437126164,2.0,2.0,-0.5,1
211,2,1.715301543712598,0.0,2.0,0.25,0
212,2,1.924301543712575,0.0,-2.0,-0.25,0
213,2,1.2423015437126166,2.0,0.0,0.0,1
214,2,1.0613015437126163,0.0,-2.0,-0.5,0
215,2,1.8493015437125833,2.0,-2.0,-0.75,1
216,2,1.678301543712602,2.0,-2.0,1.0,1
217,2,1.6133015437126093,1.0,-2.0,-1.0,0
218,2,2.069301543712559,1.0,-2.0,-1.0,0
219,2,2.4403015437125184,1.0,2.0,-1.0,0
220,2,1.4653015437126167,0.0,-2.0,-1.0,0
221,2,1.5123015437126166,1.0,0.0,-1.0,0
222,2,1.7543015437125937,0.0,0.0,-0.75,0
223,2,1.642301543712606,2.0,-2.0,-0.75,1
224,2,1.5273015437126167,1.0,-2.0,-1.0,0
225,2,1.2393015437126165,2.0,0.0,-1.0,1
226,2,1.8103015437125876,1.0,2.0,-1.0,0
227,2,1.7573015437125934,1.0,2.0,-0.75,0
228,2,1.7803015437125909,0.0,2.0,-1.0,0
229,2,1.3193015437126165,2.0,0.0,1.0,1
230,2,1.2973015437126165,0.0,-2.0,-0.25,0
231,2,1.7113015437125985,1.0,2.0,0.0,0
232,2,1.8653015437125815,0.0,0.0,0.0,0
233,2,1.3243015437126164,2.0,-2.0,1.0,1
234,2,1.4673015437126167,1.0,2.0,-0.25,0
235,2,1.4803015437126166,1.0,2.0,-1.0,0
236,2,1.733301543712596,2.0,0.0,-1.0,1
237,2,2.3923015437125237,2.0,0.0,-0.75,1
238,2,1.9713015437125698,2.0,2.0,1.0,1
239,2,1.87930154371258,0.0,-2.0,-1.0,0
240,2,1.551301543712616,2.0,2.0,0.75,1
241,2,1.5293015437126167,2.0,2.0,1.0,1
242,2,0.9273015437126162,1.0,2.0,-1.0,0
243,2,1.4503015437126168,1.0,2.0,1.0,0
244,2,2.570301543712504,1.0,0.0,-1.0,0
245,2,1.979301543712569,1.0,-2.0,-0.5,0
246,2,1.5643015437126147,2.0,2.0,1.0,1
247,2,1.2673015437126165,2.0,0.0,1.0,1
248,2,1.4523015437126165,0.0,2.0,0.0,0
249,2,3.506301543712401,0.0,0.0,0.0,0
250,2,1.2563015437126164,1.0,-2.0,-1.0,0
251,2,1.806301543712588,2.0,-2.0,1.0,1
252,2,1.3003015437126164,2.0,2.0,1.0,1
253,2,1.2253015437126165,0.0,2.0,0.25,0
254,2,1.8093015437125877,2.0,0.0,-1.0,1
255,2,2.3013015437125333,1.0,2.0,-0.25,0
256,2,1.5623015437126149,0.0,-2.0,0.25,0
257,2,1.4653015437126167,0.0,-2.0,0.0,0
258,2,1.6313015437126073,0.0,2.0,0.0,0
259,2,1.7143015437125981,1.0,-2.0,-0.75,0
260,2,1.2633015437126165,0.0,-4.0,-0.25,0
261,2,2.0203015437125647,2.0,2.0,1.0,1
262,2,3.1933015437124355,2.0,0.0,0.0,1
263,2,1.0403015437126164,2.0,0.0,-1.0,1
264,2,1.6113015437126095,2.0,-2.0,-0.25,1
265,2,1.5003015437126166,1.0,0.0,0.5,0
266,2,1.6223015437126083,2.0,2.0,0.5,1
267,2,1.0453015437126163,0.0,0.0,-0.25,0
268,2,1.5443015437126166,2.0,0.0,0.25,1
269,2,1.6133015437126093,1.0,0.0,-1.0,0
270,3,2.2310001640914625,1.0,0.0,-0.25,0
271,3,1.1200001640915846,1.0,-4.0,-0.5,0
272,3,2.681000164091413,1.0,0.0,-0.75,0
273,3,1.5590001640915363,1.0,-2.0,-0.75,0
274,3,0.9240001640915877,2.0,-2.0,-0.5,1
275,3,2.137000164091473,2.0,2.0,-0.75,1
276,3,1.1910001640915768,1.0,0.0,-0.5,0
277,3,2.590000164091423,0.0,2.0,-0.25,0
278,3,2.8480001640913946,1.0,-4.0,-0.5,0
279,3,1.117000164091585,1.0,-4.0,-0.25,0
280,3,1.7030001640915204,0.0,-4.0,-0.25,0
281,3,1.1820001640915778,0.0,0.0,-0.25,0
282,3,0.6800001640915875,2.0,8.0,0.75,1
283,3,1.0900001640915877,2.0,4.0,0.0,1
284,3,1.0070001640915878,2.0,0.0,0.0,1
285,3,1.0300001640915877,2.0,4.0,-0.25,1
286,3,0.9540001640915877,2.0,8.0,0.5,1
287,3,1.2130001640915744,1.0,0.0,-1.0,0
288,3,0.6410001640915874,1.0,4.0,-0.75,0
289,3,1.6310001640915284,2.0,8.0,-0.25,1
290,3,1.0650001640915878,1.0,-2.0,-0.75,0
291,3,0.9610001640915877,1.0,-4.0,-0.75,0
292,3,2.553000164091427,0.0,0.0,-0.5,0
293,3,0.9090001640915877,0.0,-6.0,-1.0,0
294,3,1.2930001640915656,1.0,0.0,-0.25,0
295,3,2.718000164091409,1.0,2.0,0.0,0
296,3,1.0350001640915878,2.0,2.0,0.25,1
297,3,0.5810001640915874,1.0,-6.0,-1.0,0
298,3,1.145000164091582,2.0,4.0,-0.5,1
299,3,1.5450001640915378,2.0,4.0,-0.25,1
300,3,1.0180001640915877,0.0,-2.0,0.0,0
301,3,1.9270001640914958,2.0,6.0,-0.5,1
302,3,3.106000164091366,2.0,4.0,0.0,1
303,3,1.52600016409154,1.0,-2.0,0.0,0
304,3,1.5140001640915413,1.0,-2.0,-1.0,0
305,3,2.535000164091429,1.0,-2.0,-0.5,0
306,3,1.635000164091528,1.0,-2.0,-1.0,0
307,3,0.7590001640915875,2.0,2.0,0.5,1
308,3,0.5320001640915875,0.0,-6.0,-1.0,0
309,3,1.6780001640915232,0.0,-2.0,-0.75,0
310,3,1.6810001640915229,1.0,-6.0,-0.5,0
311,3,0.7740001640915876,2.0,6.0,0.75,1
312,3,1.2760001640915675,2.0,8.0,0.25,1
313,3,1.2960001640915653,2.0,4.0,0.25,1
314,3,1.117000164091585,1.0,-2.0,-0.25,0
315,3,0.8720001640915876,0.0,-4.0,-0.25,0
316,3,1.4190001640915517,0.0,0.0,0.0,0
317,3,2.3860001640914454,1.0,-2.0,-0.25,0
318,3,1.8170001640915079,2.0,4.0,-0.75,1
319,3,2.4390001640914396,0.0,0.0,0.0,0
320,3,1.3000001640915648,0.0,-4.0,-1.0,0
321,3,1.3410001640915603,1.0,2.0,-0.75,0
322,3,2.199000164091466,1.0,0.0,-0.25,0
323,3,1.2520001640915701,1.0,-4.0,-0.75,0
324,3,1.2550001640915698,0.0,-4.0,-1.0,0
325,3,1.1430001640915821,0.0,-2.0,-0.5,0
326,3,2.373000164091447,0.0,-2.0,-1.0,0
327,3,0.8860001640915877,2.0,2.0,0.0,1
328,3,1.8320001640915062,2.0,-2.0,-0.25,1
329,3,1.4400001640915494,0.0,-4.0,-0.5,0
330,3,1.0630001640915878,2.0,4.0,0.75,1
331,3,0.9980001640915878,2.0,2.0,0.5,1
332,3,2.844000164091395,1.0,-2.0,-0.5,0
333,3,1.6320001640915283,1.0,0.0,0.0,0
334,3,1.4950001640915433,1.0,0.0,-0.25,0
335,3,1.1860001640915774,1.0,4.0,-0.5,0
336,3,1.5480001640915375,0.0,-4.0,-1.0,0
337,3,0.9860001640915877,0.0,0.0,-0.25,0
338,3,1.5640001640915357,1.0,0.0,-1.0,0
339,3,1.5820001640915338,1.0,0.0,-0.5,0
340,3,2.4760001640914355,2.0,4.0,-0.25,1
341,3,1.6000001640915318,2.0,-2.0,0.0,1
342,3,0.7200001640915875,1.0,0.0,-0.5,0
343,3,1.9840001640914895,2.0,0.0,0.0,1
344,3,1.6140001640915302,1.0,-4.0,-0.5,0
345,3,0.6880001640915875,0.0,-2.0,-1.0,0
346,3,1.9190001640914967,0.0,0.0,-0.25,0
347,3,0.7460001640915875,0.0,-2.0,-1.0,0
348,3,2.9560001640913827,1.0,-6.0,-1.0,0
349,3,1.1280001640915838,1.0,-6.0,-1.0,0
350,3,0.6530001640915875,0.0,-2.0,-0.75,0
351,3,3.045000164091373,2.0,2.0,-1.0,1
352,3,0.8430001640915876,2.0,8.0,0.25,1
