,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,goal,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
45,0,23,3.385,0,1.7,1.4,0.553525758,0.446474242,1,7.946718428440665,4.0,-1.0,4.0,0.0
46,0,24,2.824,0,1.25,1.7,0.48939513,0.51060487,-1,7.946718428440665,6.0,1.0,4.0,0.0
47,0,24,2.456,1,1.4,2.0,0.343507973,0.656492027,1,7.946718428440665,6.0,1.0,5.0,0.25
48,0,25,3.643,0,2.0,2.3,0.63810111,0.36189889,-1,7.946718428440665,6.0,1.0,3.0,-0.25
49,0,25,2.136,0,1.85,1.7,0.554032683,0.445967317,1,7.946718428440665,5.0,0.0,4.0,0.0
50,0,26,2.188,1,1.85,0.65,0.390218522,0.609781478,-1,7.946718428440665,3.0,-2.0,5.0,0.25
51,0,26,7.01,1,1.1,1.55,0.472887768,0.527112232,1,7.946718428440665,6.0,1.0,4.0,0.0
52,0,27,3.321,1,1.85,1.1,0.300615484,0.699384516,-1,7.946718428440665,4.0,-1.0,6.0,0.5
53,0,27,4.784,0,0.95,0.65,0.420238621,0.579761379,1,7.946718428440665,4.0,-1.0,5.0,0.25
54,0,28,6.784,0,1.85,2.0,0.530279742,0.469720258,-1,7.946718428440665,5.0,0.0,4.0,0.0
55,0,28,2.697,1,1.1,1.55,0.367032075,0.632967925,1,7.946718428440665,6.0,1.0,5.0,0.25
56,0,29,2.314,0,1.1,2.3,0.465491924,0.534508076,-1,7.946718428440665,7.0,2.0,4.0,0.0
57,0,29,4.654,1,1.25,1.55,0.322072072,0.677927928,1,7.946718428440665,6.0,1.0,6.0,0.5
58,0,30,2.952,0,1.1,2.0,0.70045045,0.29954955,-1,7.946718428440665,7.0,2.0,2.0,-0.5
59,0,30,1.916,1,1.55,2.3,0.407250755,0.592749245,1,7.946718428440665,6.0,1.0,5.0,0.25
60,0,31,2.033,0,1.7,1.25,0.621714286,0.378285714,1,7.946718428440665,4.0,-1.0,3.0,-0.25
61,0,32,5.341,1,1.25,1.85,0.597014925,0.402985075,-1,7.946718428440665,6.0,1.0,3.0,-0.25
62,0,32,1.441,1,0.95,1.85,0.46179402,0.53820598,1,7.946718428440665,7.0,2.0,4.0,0.0
63,0,33,2.183,1,1.1,0.95,0.335318369,0.664681631,-1,7.946718428440665,5.0,0.0,5.0,0.25
64,0,33,3.579,1,0.65,1.25,0.599880739,0.400119261,1,7.946718428440665,6.0,1.0,3.0,-0.25
65,0,34,3.207,0,0.95,1.85,0.435516543,0.564483457,-1,7.946718428440665,7.0,2.0,5.0,0.25
66,0,34,7.377,1,1.7,2.0,0.601685067,0.398314933,1,7.946718428440665,6.0,1.0,3.0,-0.25
67,0,35,3.224,1,1.1,1.55,0.344071737,0.655928263,-1,7.946718428440665,6.0,1.0,5.0,0.25
68,0,35,2.921,0,2.3,1.7,0.535700935,0.464299065,1,7.946718428440665,4.0,-1.0,4.0,0.0
69,0,36,3.476,1,1.7,1.85,0.601593625,0.398406375,-1,7.946718428440665,5.0,0.0,3.0,-0.25
