,sbj,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,rt_max,choice_0,choice_1,choice_2,Right Value - Mean Other Value,gaze diff,Dwell Time Advantage (R - O)
0,0,0,1.782,1,1,7,3,0.0968641114982578,0.7916376306620209,0.1114982578397212,2.1436772137361824,0,1,0,-2.0,1.0,-0.75
1,0,1,1.063,1,7,3,2,0.1777378815080789,0.5008976660682226,0.3213644524236984,2.1436772137361824,0,1,0,-4.0,2.0,-0.5
2,0,2,1.171,2,3,1,2,0.5342237061769616,0.0,0.4657762938230384,2.1436772137361824,0,0,1,0.0,4.0,0.0
3,0,3,1.368,0,3,1,2,0.6266044340723453,0.0,0.3733955659276546,2.1436772137361824,1,0,0,0.0,3.0,-0.25
4,0,4,1.476,0,6,1,3,0.3404482390608324,0.4887940234791889,0.1707577374599786,2.1436772137361824,1,0,0,0.0,1.0,-0.75
5,0,5,1.394,2,3,1,2,0.2767094017094017,0.2126068376068376,0.5106837606837606,2.1436772137361824,0,0,1,0.0,4.0,0.0
6,0,6,1.482,2,3,1,7,0.1786355475763016,0.4829443447037702,0.3384201077199282,2.1436772137361824,0,0,1,6.0,3.0,-0.25
7,0,7,1.419,2,1,3,7,0.1846965699208443,0.3403693931398417,0.4749340369393139,2.1436772137361824,0,0,1,6.0,4.0,0.0
8,0,8,1.393,2,1,2,7,0.2138590203106332,0.2150537634408602,0.5710872162485066,2.1436772137361824,0,0,1,6.0,5.0,0.25
9,0,9,1.45,1,1,2,3,0.1006160164271047,0.7566735112936345,0.1427104722792607,2.1436772137361824,0,1,0,2.0,1.0,-0.75
10,0,10,1.341,2,3,1,6,0.1402805611222445,0.5991983967935872,0.2605210420841683,2.1436772137361824,0,0,1,4.0,2.0,-0.5
11,0,11,1.189,1,3,7,1,0.2948571428571429,0.2731428571428571,0.432,2.1436772137361824,0,1,0,-4.0,3.0,-0.25
12,0,12,1.274,1,1,6,2,0.3612273361227336,0.3891213389121339,0.2496513249651325,2.1436772137361824,0,1,0,-2.0,2.0,-0.5
13,0,13,1.437,1,2,3,1,0.34485738980121,0.1374243733794295,0.5177182368193605,2.1436772137361824,0,1,0,-2.0,4.0,0.0
14,0,14,0.864,1,1,3,6,0.0,0.5201612903225806,0.4798387096774194,2.1436772137361824,0,1,0,4.0,4.0,0.0
15,0,15,0.95,2,1,3,6,0.0,0.6775147928994083,0.3224852071005917,2.1436772137361824,0,0,1,4.0,2.0,-0.5
16,0,16,1.183,2,3,1,6,0.2855436081242533,0.2138590203106332,0.5005973715651135,2.1436772137361824,0,0,1,4.0,4.0,0.0
17,0,17,1.408,0,3,1,2,0.5289473684210526,0.2618421052631579,0.2092105263157894,2.1436772137361824,1,0,0,0.0,1.0,-0.75
18,0,18,1.047,0,3,6,1,0.2568149210903874,0.2008608321377331,0.5423242467718795,2.1436772137361824,1,0,0,-4.0,4.0,0.0
19,0,19,0.993,2,2,1,3,0.3603351955307262,0.361731843575419,0.2779329608938548,2.1436772137361824,0,0,1,2.0,2.0,-0.5
20,0,20,1.077,0,7,3,1,0.6253918495297806,0.3746081504702194,0.0,2.1436772137361824,1,0,0,-4.0,0.0,-1.0
21,0,21,1.084,1,1,7,3,0.3171974522292993,0.4038216560509554,0.2789808917197452,2.1436772137361824,0,1,0,-2.0,2.0,-0.5
22,0,22,1.854,0,3,1,2,0.308584686774942,0.1693735498839907,0.5220417633410673,2.1436772137361824,1,0,0,0.0,4.0,0.0
23,0,23,1.446,2,3,7,6,0.2267552182163187,0.5664136622390892,0.206831119544592,2.1436772137361824,0,0,1,2.0,1.0,-0.75
24,0,24,1.624,2,2,1,3,0.288265306122449,0.0,0.7117346938775511,2.1436772137361824,0,0,1,2.0,6.0,0.5
25,0,25,1.302,2,3,1,7,0.1661442006269592,0.457680250783699,0.3761755485893417,2.1436772137361824,0,0,1,6.0,3.0,-0.25
26,0,26,1.146,0,6,2,3,0.5626535626535627,0.1953316953316953,0.242014742014742,2.1436772137361824,1,0,0,-2.0,2.0,-0.5
27,0,27,1.573,2,6,1,7,0.2187784867821331,0.454876937101185,0.3263445761166819,2.1436772137361824,0,0,1,4.0,2.0,-0.5
28,0,28,1.425,1,3,2,1,0.2945812807881773,0.3527093596059113,0.3527093596059113,2.1436772137361824,0,1,0,-2.0,3.0,-0.25
29,0,29,1.467,1,3,7,1,0.2123799359658484,0.2550693703308431,0.5325506937033084,2.1436772137361824,0,1,0,-4.0,4.0,0.0
30,0,30,1.314,0,6,1,3,0.4258271077908218,0.4044823906083244,0.1696905016008537,2.1436772137361824,1,0,0,0.0,1.0,-0.75
31,0,31,0.961,1,2,7,1,0.1822323462414578,0.4077448747152619,0.4100227790432801,2.1436772137361824,0,1,0,-4.0,3.0,-0.25
32,0,32,1.35,1,3,2,1,0.3897058823529412,0.3909313725490196,0.2193627450980392,2.1436772137361824,0,1,0,-2.0,1.0,-0.75
33,0,33,1.547,0,3,2,1,0.4125753660637382,0.4504737295434969,0.1369509043927648,2.1436772137361824,1,0,0,-2.0,1.0,-0.75
34,0,34,0.938,1,3,6,1,0.1941747572815534,0.4190938511326861,0.3867313915857605,2.1436772137361824,0,1,0,-4.0,3.0,-0.25
35,0,35,1.498,1,1,3,2,0.1726133076181292,0.5573770491803278,0.2700096432015429,2.1436772137361824,0,1,0,0.0,2.0,-0.5
36,0,36,1.834,0,3,2,1,0.3653710247349823,0.5356890459363958,0.0989399293286219,2.1436772137361824,1,0,0,-2.0,0.0,-1.0
37,0,37,1.521,1,2,3,1,0.277504105090312,0.5262725779967159,0.1962233169129721,2.1436772137361824,0,1,0,-2.0,1.0,-0.75
38,0,38,1.409,1,3,2,1,0.2452407614781634,0.4210526315789473,0.3337066069428891,2.1436772137361824,0,1,0,-2.0,3.0,-0.25
39,0,39,2.056,0,2,1,3,0.4723969252271139,0.2082459818308875,0.3193570929419986,2.1436772137361824,1,0,0,2.0,2.0,-0.5
40,0,40,1.639,2,3,2,1,0.3335866261398176,0.2272036474164133,0.439209726443769,2.1436772137361824,0,0,1,-2.0,3.0,-0.25
41,0,41,1.336,2,1,2,7,0.1155192532088681,0.3022170361726954,0.5822637106184364,2.1436772137361824,0,0,1,6.0,5.0,0.25
42,0,42,1.045,1,1,7,3,0.4068027210884353,0.2149659863945578,0.3782312925170068,2.1436772137361824,0,1,0,-2.0,3.0,-0.25
43,0,43,1.46,0,2,1,3,0.4212637913741223,0.2186559679037111,0.3600802407221665,2.1436772137361824,1,0,0,2.0,3.0,-0.25
44,0,44,0.892,1,1,6,3,0.3454231433506045,0.0,0.6545768566493955,2.1436772137361824,0,1,0,0.0,5.0,0.25
45,0,45,0.887,2,2,1,7,0.2062391681109185,0.2755632582322357,0.5181975736568457,2.1436772137361824,0,0,1,6.0,4.0,0.0
46,0,46,1.438,2,1,3,6,0.2816593886462882,0.5447598253275109,0.1735807860262008,2.1436772137361824,0,0,1,4.0,1.0,-0.75
47,0,47,0.908,2,1,3,2,0.2389558232931727,0.2811244979919678,0.4799196787148594,2.1436772137361824,0,0,1,0.0,4.0,0.0
48,0,48,1.207,2,3,1,2,0.4340239912758997,0.3707742639040349,0.1952017448200654,2.1436772137361824,0,0,1,0.0,1.0,-0.75
49,0,49,1.116,1,3,6,1,0.0,0.7216374269005847,0.2783625730994152,2.1436772137361824,0,1,0,-4.0,2.0,-0.5
50,0,50,1.315,0,7,2,1,0.4883720930232558,0.2925336597307221,0.219094247246022,2.1436772137361824,1,0,0,-4.0,1.0,-0.75
51,0,51,1.231,2,1,2,3,0.0,0.720160481444333,0.279839518555667,2.1436772137361824,0,0,1,2.0,2.0,-0.5
52,0,52,1.246,2,1,3,2,0.2128342245989304,0.5529411764705883,0.2342245989304812,2.1436772137361824,0,0,1,0.0,2.0,-0.5
53,0,53,1.005,2,3,1,2,0.3142037302725968,0.3428981348637016,0.3428981348637016,2.1436772137361824,0,0,1,0.0,3.0,-0.25
54,0,54,1.1,2,3,1,2,0.2432762836185819,0.2200488997555012,0.5366748166259169,2.1436772137361824,0,0,1,0.0,4.0,0.0
55,0,55,0.779,2,1,3,6,0.4221635883905013,0.0,0.5778364116094987,2.1436772137361824,0,0,1,4.0,5.0,0.25
56,0,56,1.935,1,1,2,3,0.2756363636363636,0.3767272727272727,0.3476363636363636,2.1436772137361824,0,1,0,2.0,3.0,-0.25
57,0,57,0.946,0,7,3,1,0.7923875432525952,0.0,0.2076124567474048,2.1436772137361824,1,0,0,-4.0,1.0,-0.75
58,0,58,0.776,2,3,1,6,0.0,0.0,1.0,2.1436772137361824,0,0,1,4.0,8.0,1.0
59,0,59,1.458,1,1,3,2,0.1662489557226399,0.6675020885547202,0.1662489557226399,2.1436772137361824,0,1,0,0.0,1.0,-0.75
60,0,60,1.411,1,1,3,2,0.1922705314009661,0.2115942028985507,0.5961352657004831,2.1436772137361824,0,1,0,0.0,5.0,0.25
61,0,61,0.971,2,3,1,2,0.5829846582984658,0.0,0.4170153417015341,2.1436772137361824,0,0,1,0.0,3.0,-0.25
62,0,62,1.182,2,2,1,3,0.3726635514018692,0.2091121495327103,0.4182242990654206,2.1436772137361824,0,0,1,2.0,3.0,-0.25
63,0,63,1.401,2,3,1,2,0.2773654916512059,0.2402597402597402,0.4823747680890538,2.1436772137361824,0,0,1,0.0,4.0,0.0
64,0,64,0.984,0,7,3,1,0.4863701578192252,0.2568149210903874,0.2568149210903874,2.1436772137361824,1,0,0,-4.0,2.0,-0.5
65,0,65,0.989,0,7,2,3,0.4008620689655172,0.3994252873563218,0.1997126436781609,2.1436772137361824,1,0,0,-2.0,1.0,-0.75
66,0,66,1.297,2,1,2,3,0.1326644370122631,0.443701226309922,0.4236343366778149,2.1436772137361824,0,0,1,2.0,3.0,-0.25
67,0,67,1.312,2,1,2,3,0.2402010050251256,0.2402010050251256,0.5195979899497487,2.1436772137361824,0,0,1,2.0,4.0,0.0
68,0,68,0.776,2,1,2,6,0.3508771929824561,0.0,0.6491228070175439,2.1436772137361824,0,0,1,4.0,5.0,0.25
69,0,69,1.297,1,1,3,2,0.2441471571906354,0.5774804905239688,0.1783723522853957,2.1436772137361824,0,1,0,0.0,1.0,-0.75
70,0,70,0.719,2,3,1,2,0.2125,0.25,0.5375,2.1436772137361824,0,0,1,0.0,4.0,0.0
71,0,71,1.23,1,1,3,2,0.2046332046332046,0.4877734877734878,0.3075933075933076,2.1436772137361824,0,1,0,0.0,2.0,-0.5
72,0,72,0.821,1,3,7,1,0.2588454376163873,0.2960893854748603,0.4450651769087523,2.1436772137361824,0,1,0,-4.0,4.0,0.0
