,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time,goal,RT,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
40,0,21,2.0456410000000003,1,110,117,0.658430709,0.341569291,,1,2045.641,6.440692531296836,5.0,5.0,3.0,-0.25
41,0,22,2.474714,0,77,80,0.6429709458681474,0.3570290541318526,2474.714,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
42,0,22,1.402112,1,77,80,0.435523019,0.564476981,,1,1402.112,6.440692531296836,5.0,5.0,5.0,0.25
43,0,23,2.272349,0,80,91,0.6056323604250726,0.3943676395749274,2272.349,-1,,6.440692531296836,6.0,10.0,3.0,-0.25
44,0,23,2.736625,1,80,91,0.565622513,0.434377487,,1,2736.625,6.440692531296836,6.0,10.0,4.0,0.0
45,0,24,3.79048,0,44,50,0.5654945644879882,0.4345054355120118,3790.48,-1,,6.440692531296836,5.0,5.0,4.0,0.0
46,0,24,2.065604,1,44,50,0.528334775,0.471665225,,1,2065.604,6.440692531296836,5.0,5.0,4.0,0.0
47,0,25,2.046062,0,50,57,0.6408654693271053,0.3591345306728947,2046.062,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
48,0,25,3.058203,1,50,57,0.555438676,0.444561324,,1,3058.203,6.440692531296836,5.0,5.0,4.0,0.0
49,0,26,3.822251,1,50,46,0.468666947358795,0.5313330526412049,3822.251,-1,,6.440692531296836,3.0,-5.0,5.0,0.25
50,0,26,1.613454,1,50,46,0.485035116,0.514964884,,1,1613.454,6.440692531296836,3.0,-5.0,4.0,0.0
51,0,27,3.34754,0,110,108,0.6518761411954991,0.348123858804501,3347.54,-1,,6.440692531296836,4.0,0.0,3.0,-0.25
52,0,27,1.931482,1,110,108,0.550045076,0.449954924,,1,1931.482,6.440692531296836,4.0,0.0,4.0,0.0
53,0,28,2.252245,1,133,110,0.5196460762585483,0.4803539237414517,2252.245,-1,,6.440692531296836,0.0,-20.0,4.0,0.0
54,0,28,4.895517,0,133,110,0.698379326,0.301620674,,1,4895.517,6.440692531296836,0.0,-20.0,2.0,-0.5
55,0,29,2.083424,1,131,110,0.5393131400137664,0.4606868599862335,2083.424,-1,,6.440692531296836,0.0,-20.0,4.0,0.0
56,0,29,3.19786,1,131,110,0.577821404,0.422178596,,1,3197.86,6.440692531296836,0.0,-20.0,4.0,0.0
57,0,30,4.155502,1,126,110,0.6705228587104467,0.3294771412895533,4155.502,-1,,6.440692531296836,1.0,-15.0,3.0,-0.25
58,0,30,2.0006880000000002,1,126,110,0.511292087,0.488707913,,1,2000.688,6.440692531296836,1.0,-15.0,4.0,0.0
59,0,31,2.550939,0,110,133,0.6538031910581308,0.3461968089418692,2550.939,-1,,6.440692531296836,8.0,20.0,3.0,-0.25
60,0,31,1.921251,1,110,133,0.597666855,0.402333145,,1,1921.251,6.440692531296836,8.0,20.0,3.0,-0.25
61,0,32,5.814551000000001,0,110,126,0.7634743553981836,0.2365256446018163,5814.551,-1,,6.440692531296836,7.0,15.0,2.0,-0.5
62,0,32,2.050497,1,110,126,0.522392578,0.477607422,,1,2050.497,6.440692531296836,7.0,15.0,4.0,0.0
63,0,33,1.4282879999999998,0,48,50,0.3901582579433784,0.6098417420566217,1428.2879999999996,-1,,6.440692531296836,4.0,0.0,5.0,0.25
64,0,33,2.219756,1,48,50,0.292914479,0.707085521,,1,2219.756,6.440692531296836,4.0,0.0,6.0,0.5
65,0,34,1.743991,0,80,77,0.6570660429282633,0.3429339570717367,1743.991,-1,,6.440692531296836,3.0,-5.0,3.0,-0.25
