,sbj,rt,ch,goal,value_diff,gaze_diff
99,1,6.157230903625418,0.0,1,-15.0,0.0
100,1,8.433230903626178,1.0,-1,-15.0,0.0
101,1,6.247230903625448,0.0,-1,15.0,-0.5
102,1,5.9782309036253585,1.0,1,20.0,0.0
103,1,2.449230903625481,0.0,-1,20.0,-0.75
104,1,7.260230903625787,0.0,-1,0.0,0.0
105,1,2.988230903625422,1.0,1,-5.0,-0.5
106,1,15.347230903623187,0.0,-1,0.0,-0.25
107,1,7.5862309036258955,1.0,1,5.0,0.0
108,1,8.605230903626236,1.0,1,-5.0,0.0
109,1,4.546230903625251,0.0,-1,20.0,-0.25
110,1,8.856230903626319,1.0,-1,-10.0,-0.25
111,1,7.0292309036257095,1.0,-1,-5.0,-0.25
112,1,5.039230903625196,1.0,-1,-10.0,0.0
113,1,10.03623090362613,1.0,1,-5.0,-0.25
114,1,7.12123090362574,1.0,1,0.0,-0.5
115,1,6.417230903625505,1.0,1,10.0,0.0
116,1,4.5432309036252505,1.0,1,-5.0,0.25
117,1,5.1922309036251795,0.0,-1,10.0,-0.25
118,1,6.217230903625438,0.0,1,-10.0,-0.25
119,1,2.649230903625459,0.0,-1,-10.0,0.0
120,1,2.8792309036254338,0.0,-1,0.0,-0.5
121,1,5.995230903625364,1.0,1,-5.0,0.0
122,1,4.785230903625225,0.0,-1,10.0,-0.25
123,1,10.983230903625605,1.0,-1,-5.0,0.0
124,1,6.817230903625639,1.0,1,-10.0,-0.25
125,1,4.599230903625244,0.0,-1,15.0,-0.25
126,1,13.001230903624487,1.0,1,10.0,0.0
127,1,20.999230903626483,1.0,-1,0.0,0.25
128,1,3.716230903625342,0.0,-1,0.0,-0.25
129,1,11.46123090362534,1.0,-1,-10.0,0.0
130,1,3.046230903625416,1.0,-1,-20.0,0.0
131,1,11.614230903625256,1.0,1,0.0,0.0
132,1,5.825230903625307,1.0,1,5.0,-0.25
133,1,6.67223090362559,0.0,1,5.0,0.0
134,1,6.114230903625404,1.0,1,-10.0,0.0
135,1,6.418230903625505,1.0,-1,-10.0,0.5
136,1,6.178230903625425,0.0,-1,-15.0,0.0
137,1,8.239230903626114,1.0,-1,5.0,-0.25
138,1,6.303230903625467,1.0,1,5.0,0.0
139,1,4.91123090362521,0.0,1,10.0,-0.25
140,1,4.611230903625243,0.0,1,0.0,0.0
141,1,9.40623090362648,1.0,-1,-15.0,0.25
142,1,11.722230903625196,1.0,1,10.0,0.0
143,1,8.02123090362604,0.0,1,5.0,-0.5
144,1,4.46023090362526,0.0,-1,10.0,-0.25
145,1,11.26423090362545,1.0,1,0.0,0.0
146,1,5.129230903625187,0.0,1,-5.0,-0.75
147,1,18.38623090362329,0.0,-1,5.0,0.0
148,1,6.599230903625566,0.0,1,0.0,0.25
149,1,4.145230903625295,1.0,-1,10.0,-0.25
150,1,7.985230903626029,1.0,1,15.0,0.0
151,1,5.613230903625237,0.0,-1,10.0,-0.5
152,1,4.773230903625226,0.0,-1,5.0,-0.25
153,1,10.015230903626142,0.0,-1,10.0,-0.5
154,1,9.503230903626426,0.0,-1,-5.0,-0.5
155,1,9.467230903626445,1.0,-1,-10.0,0.0
156,1,8.05123090362605,1.0,-1,10.0,-0.5
157,1,3.851230903625327,1.0,-1,-10.0,0.0
158,1,15.93523090362286,1.0,-1,-15.0,0.25
159,1,6.998230903625699,1.0,-1,-20.0,0.0
160,1,3.7482309036253385,0.0,-1,5.0,0.0
161,1,4.3972309036252675,0.0,1,-10.0,0.0
162,1,9.89123090362621,0.0,-1,10.0,0.0
163,1,4.247230903625283,1.0,1,5.0,-0.25
164,1,8.61923090362624,0.0,1,-15.0,0.25
165,1,5.916230903625338,1.0,1,-5.0,-0.25
166,1,4.123230903625297,0.0,1,-15.0,-0.5
167,1,11.572230903625279,1.0,1,-10.0,-0.25
168,1,4.991230903625201,0.0,-1,0.0,-0.25
169,1,7.435230903625845,0.0,1,-5.0,-0.5
170,1,3.980230903625313,0.0,1,5.0,0.25
171,1,9.016230903626372,1.0,-1,-5.0,-0.25
172,1,6.79223090362563,0.0,1,10.0,0.0
173,1,18.791230903623784,0.0,-1,-5.0,0.25
174,1,8.022230903626042,0.0,-1,-5.0,0.0
175,1,17.74723090362251,0.0,-1,15.0,-0.5
176,1,4.259230903625282,0.0,1,-10.0,0.0
177,1,4.359230903625271,1.0,1,10.0,0.25
178,1,7.400230903625833,0.0,-1,-20.0,-0.25
179,1,6.314230903625471,1.0,1,20.0,-0.25
180,1,6.49223090362553,1.0,-1,20.0,-0.75
181,1,9.234230903626447,0.0,1,-10.0,0.0
182,1,8.219230903626107,1.0,1,5.0,0.0
183,1,6.329230903625476,1.0,1,10.0,-0.75
184,1,14.975230903623393,1.0,1,0.0,-0.5
185,1,2.321230903625489,1.0,1,15.0,-0.75
186,1,3.497230903625366,1.0,1,-5.0,-0.25
187,1,4.253230903625283,0.0,-1,-15.0,0.0
188,1,16.333230903622642,0.0,-1,5.0,-0.25
189,1,4.403230903625266,0.0,-1,-5.0,0.0
190,2,2.7356028022765138,1.0,1,20.0,-0.25
191,2,2.279602802276564,1.0,1,0.0,0.25
192,2,2.6606028022765216,1.0,1,20.0,0.0
193,2,5.049602802276351,1.0,1,-5.0,0.0
194,2,3.1096028022764726,0.0,-1,5.0,0.5
195,2,2.6986028022765174,0.0,1,-5.0,-0.5
196,2,4.941602802276315,1.0,1,-10.0,-0.25
197,2,2.5456028022765347,0.0,-1,0.0,-0.25
198,2,2.8176028022765047,0.0,-1,-5.0,-0.25
199,2,2.4856028022765413,1.0,-1,-5.0,0.5
200,2,1.4656028022766119,1.0,1,15.0,0.75
201,2,1.6116028022766118,0.0,-1,15.0,0.0
202,2,2.6016028022765285,0.0,-1,0.0,0.0
203,2,5.01460280227634,0.0,-1,15.0,-0.25
204,2,2.4996028022765397,0.0,-1,5.0,0.25
205,2,3.2296028022764594,0.0,-1,10.0,0.0
