,sbj,rt,ch,value_diff,gaze_diff
0,0,0.9486662583351139,1.0,0.75,0.0
1,0,1.560666258335101,0.0,-0.25,-0.25
2,0,0.8996662583351138,0.0,0.25,-0.25
3,0,1.282666258335114,1.0,0.5,0.25
4,0,1.2696662583351142,1.0,0.25,-0.5
5,0,0.928666258335114,1.0,1.0,0.0
6,0,0.8576662583351138,0.0,0.25,-0.75
7,0,2.0736662583350443,1.0,0.75,0.0
8,0,1.182666258335114,0.0,0.0,-0.25
9,0,3.2216662583349183,1.0,1.0,0.0
10,0,0.8166662583351139,0.0,-0.5,0.0
11,0,1.131666258335114,1.0,-0.5,0.25
12,0,1.969666258335056,0.0,0.0,0.25
13,0,0.6836662583351137,0.0,-0.75,0.0
14,0,0.8336662583351138,1.0,0.75,-0.25
15,0,0.6206662583351137,1.0,0.75,0.25
16,0,1.1206662583351141,1.0,-0.25,-0.25
17,0,1.115666258335114,1.0,0.0,0.5
18,0,0.9406662583351139,0.0,-0.75,0.0
19,0,0.7816662583351137,0.0,0.25,0.25
20,0,1.524666258335105,1.0,-0.5,0.5
21,0,0.8646662583351139,0.0,0.0,0.25
22,0,1.149666258335114,0.0,-0.25,0.0
23,0,1.4096662583351143,0.0,-0.25,0.0
24,0,2.626666258334984,0.0,-0.5,-0.75
25,0,1.4556662583351125,0.0,0.0,-0.5
26,0,1.3796662583351142,0.0,0.25,-0.25
27,0,0.7906662583351138,0.0,-0.5,-0.25
28,0,1.049666258335114,0.0,0.5,-0.5
29,0,0.8516662583351138,0.0,-1.0,0.0
30,0,0.9886662583351139,1.0,0.25,0.0
31,0,1.559666258335101,0.0,-0.25,-0.25
32,0,0.7456662583351137,0.0,0.25,-0.5
33,0,1.114666258335114,0.0,-0.25,-0.25
34,0,0.6616662583351137,1.0,0.75,-0.25
35,0,0.9986662583351139,0.0,-0.5,-0.25
36,0,0.7886662583351138,0.0,-0.75,0.5
37,0,0.936666258335114,0.0,-0.5,0.0
38,0,0.9046662583351139,0.0,-1.0,-0.75
39,0,1.107666258335114,0.0,0.25,-0.75
40,0,2.419666258335006,0.0,-0.5,-0.25
41,0,0.8906662583351139,0.0,-0.5,0.0
42,0,1.5716662583350998,0.0,0.0,0.0
43,0,0.7786662583351138,1.0,0.5,0.25
44,0,0.9006662583351139,1.0,-0.5,0.25
45,0,0.8216662583351138,0.0,0.0,-0.25
46,0,0.6586662583351137,0.0,-0.5,-0.25
47,0,0.6366662583351137,0.0,0.0,0.0
48,0,2.070666258335045,0.0,0.5,0.0
49,0,1.3486662583351143,0.0,0.5,-0.25
50,0,1.199666258335114,0.0,-0.75,-0.5
51,0,1.4986662583351078,0.0,0.5,-0.5
52,0,0.9196662583351138,0.0,0.25,-0.25
53,0,0.6926662583351137,1.0,0.25,-0.5
54,0,1.3726662583351144,1.0,1.0,0.5
55,0,0.8006662583351138,0.0,-0.5,0.0
56,0,0.7866662583351138,0.0,-0.5,0.0
57,0,1.179666258335114,0.0,-0.75,0.25
