,sbj,rt,ch,value_diff,gaze_diff
108,1,1.109959841728211,0.0,-3.0,0.75
109,1,1.2139598417282111,0.0,-4.0,0.0
110,1,0.7129598417282106,1.0,4.0,0.25
111,1,2.2349598417281227,0.0,1.0,-0.25
112,1,1.3329598417282111,0.0,0.0,0.0
113,1,1.288959841728211,1.0,3.0,-0.5
114,1,0.8719598417282108,1.0,4.0,0.5
115,1,1.1199598417282108,0.0,-2.0,-1.0
116,1,1.3789598417282112,1.0,3.0,-0.75
117,1,1.5319598417282003,1.0,4.0,0.75
118,1,1.7489598417281764,1.0,2.0,0.5
119,1,1.3499598417282113,1.0,2.0,0.0
120,1,1.3219598417282112,0.0,-5.0,0.5
121,1,0.9779598417282108,1.0,3.0,0.0
122,1,1.140959841728211,1.0,5.0,-0.25
123,1,0.9569598417282108,1.0,1.0,0.25
124,1,1.3329598417282111,1.0,4.0,0.25
125,1,2.7939598417280616,0.0,-2.0,-0.25
126,1,1.7569598417281755,0.0,4.0,0.0
127,1,1.013959841728211,1.0,3.0,0.0
128,1,1.9769598417281513,1.0,-1.0,0.25
129,1,1.160959841728211,1.0,3.0,0.25
130,1,1.235959841728211,1.0,1.0,0.75
131,1,1.254959841728211,1.0,0.0,0.0
132,1,1.5579598417281975,1.0,-1.0,0.5
133,1,1.507959841728203,1.0,4.0,0.25
134,1,1.5379598417281997,1.0,5.0,0.25
135,1,1.278959841728211,0.0,4.0,0.0
136,1,0.9609598417282108,0.0,-3.0,0.25
137,1,1.3019598417282112,0.0,-2.0,0.25
138,1,1.7299598417281785,0.0,0.0,0.75
139,1,1.129959841728211,0.0,-1.0,0.5
140,1,1.250959841728211,0.0,0.0,-0.5
141,1,1.5749598417281956,0.0,1.0,-0.5
142,1,1.114959841728211,0.0,-3.0,-0.25
143,1,2.161959841728131,0.0,-1.0,0.25
144,1,1.415959841728211,0.0,-3.0,-0.25
145,1,1.128959841728211,0.0,-5.0,0.5
146,1,1.1359598417282109,0.0,-3.0,-0.25
147,1,1.062959841728211,0.0,0.0,-0.5
148,1,1.355959841728211,1.0,-1.0,0.5
149,1,1.299959841728211,0.0,-4.0,0.25
150,1,1.169959841728211,0.0,4.0,0.25
151,1,0.9079598417282109,0.0,1.0,0.75
152,1,0.7849598417282106,0.0,1.0,0.5
153,1,2.9849598417280405,1.0,0.0,0.0
154,1,2.4009598417281044,0.0,-2.0,1.0
155,1,1.126959841728211,1.0,-4.0,-0.75
156,1,1.5729598417281958,0.0,-2.0,0.25
157,1,2.863959841728054,1.0,-2.0,0.25
158,2,2.629783161878431,1.0,1.0,-0.25
159,2,5.45478316187867,0.0,-2.0,-0.5
160,2,1.936783161878507,0.0,1.0,-0.25
161,2,8.461783161879454,1.0,-1.0,-0.25
162,2,4.298783161878284,1.0,-3.0,0.25
163,2,2.3327831618784636,0.0,0.0,0.5
164,2,5.639783161878732,0.0,2.0,-0.75
165,2,2.2797831618784694,0.0,-1.0,0.25
166,2,2.7137831618784216,1.0,2.0,0.75
167,2,2.2507831618784726,1.0,3.0,0.25
168,2,2.3247831618784645,1.0,-2.0,0.5
169,2,2.9127831618783997,1.0,2.0,-0.25
170,2,2.7527831618784173,0.0,-2.0,-0.75
171,2,3.3797831618783483,1.0,-3.0,0.5
172,2,6.094783161878884,0.0,-3.0,-0.25
173,2,4.817783161878458,1.0,1.0,0.25
174,2,8.510783161879427,0.0,-1.0,0.25
175,2,2.1167831618784874,0.0,2.0,0.0
176,2,9.523783161878866,1.0,-2.0,0.5
177,2,2.718783161878421,0.0,-5.0,-0.75
178,2,4.751783161878436,1.0,1.0,-0.25
179,2,1.9487831618785056,0.0,-3.0,0.25
180,2,1.8767831618785136,1.0,-1.0,0.0
181,2,3.654783161878318,1.0,-3.0,0.25
182,2,5.539783161878699,0.0,2.0,-0.5
183,2,9.293783161878993,0.0,-3.0,0.0
184,2,2.5527831618784393,1.0,4.0,0.0
185,2,1.5537831618785491,1.0,0.0,0.5
186,2,10.569783161878286,0.0,-2.0,0.0
187,2,1.0367831618785863,0.0,-1.0,0.0
188,2,2.038783161878496,1.0,3.0,-0.5
189,2,3.8297831618782987,0.0,0.0,-0.75
190,2,8.675783161879336,0.0,-2.0,-0.25
191,2,4.609783161878388,1.0,0.0,0.0
192,2,14.882783161875896,0.0,-2.0,-0.25
193,2,2.7407831618784186,0.0,1.0,0.25
194,2,4.605783161878387,0.0,-4.0,0.0
195,2,4.247783161878267,1.0,-3.0,0.0
196,2,3.018783161878388,1.0,0.0,-0.75
197,2,2.2427831618784735,1.0,-1.0,0.0
198,2,2.5767831618784367,0.0,-1.0,-0.5
199,2,2.0087831618784993,1.0,0.0,0.75
200,2,3.644783161878319,0.0,2.0,0.25
201,2,3.0047831618783896,1.0,1.0,0.0
202,2,4.063783161878273,0.0,1.0,-0.25
203,2,3.026783161878387,1.0,2.0,0.0
204,2,3.0507831618783845,1.0,-1.0,0.5
205,2,3.1337831618783754,1.0,3.0,0.5
206,2,3.0617831618783833,0.0,0.0,-0.5
207,2,3.7247831618783103,0.0,0.0,-0.25
208,2,3.101783161878379,1.0,-1.0,-0.5
209,2,1.1727831618785864,0.0,1.0,0.0
210,2,7.677783161879413,0.0,-4.0,0.5
211,2,3.0137831618783886,0.0,2.0,0.25
212,2,1.2567831618785819,0.0,0.0,-0.75
213,2,1.845783161878517,0.0,-1.0,-0.25
214,2,7.413783161879325,1.0,-2.0,0.5
215,2,1.7517831618785273,0.0,-2.0,0.25
216,2,2.700783161878423,0.0,-2.0,0.0
217,2,1.700783161878533,0.0,1.0,-0.75
218,2,4.5957831618783835,0.0,-2.0,-0.5
219,2,2.682783161878425,1.0,4.0,0.25
220,2,4.25578316187827,1.0,3.0,0.25
221,2,5.216783161878591,0.0,-3.0,-0.5
222,2,0.8997831618785863,1.0,-2.0,-0.5
223,2,2.526783161878442,0.0,2.0,0.0
224,2,3.235783161878364,0.0,2.0,-0.25
225,2,2.4877831618784465,0.0,-1.0,-0.5
226,2,4.189783161878259,1.0,1.0,0.25
227,2,7.089783161879216,0.0,-2.0,0.0
228,2,2.7247831618784204,0.0,0.0,-0.25
229,2,3.2687831618783605,1.0,2.0,0.0
230,2,4.954783161878503,1.0,3.0,0.0
231,2,3.8967831618782913,0.0,-1.0,0.0
232,2,1.45478316187856,0.0,-4.0,-0.5
233,2,4.077783161878271,0.0,-5.0,0.0
234,2,2.499783161878445,0.0,1.0,0.0
235,2,2.4427831618784515,1.0,1.0,0.25
236,2,4.625783161878394,1.0,-2.0,0.0
237,2,9.801783161878712,1.0,-1.0,-0.25
238,2,8.805783161879264,0.0,-1.0,0.25
239,2,2.3267831618784642,0.0,-1.0,0.5
240,2,3.6767831618783156,0.0,-4.0,-0.25
241,2,4.042783161878275,1.0,1.0,0.5
242,2,3.7067831618783122,0.0,-1.0,-0.25
243,2,1.6477831618785388,0.0,1.0,0.25
244,2,2.917783161878399,1.0,-2.0,-0.5
245,2,6.337783161878965,1.0,-1.0,0.25
246,2,5.874783161878811,1.0,1.0,0.25
247,2,1.8397831618785176,1.0,4.0,0.25
248,2,2.1227831618784867,0.0,-1.0,0.0
249,2,1.7807831618785241,0.0,-3.0,-0.5
250,2,1.9607831618785043,0.0,2.0,0.0
251,3,1.5234486832618719,0.0,-2.0,-0.25
252,3,2.0334486832618444,1.0,2.0,1.0
253,3,1.628448683261872,1.0,4.0,1.0
254,3,1.1774486832618716,0.0,-4.0,-1.0
255,3,0.9944486832618715,0.0,-4.0,0.0
256,3,1.4814486832618718,1.0,-2.0,0.5
257,3,2.230448683261823,0.0,2.0,1.0
258,3,2.4474486832617988,1.0,1.0,1.0
259,3,1.2764486832618718,1.0,2.0,1.0
260,3,1.669448683261872,1.0,1.0,0.25
261,3,2.0394486832618437,1.0,4.0,0.75
262,3,1.749448683261872,1.0,5.0,1.0
263,3,2.0004486832618484,0.0,1.0,-0.5
264,3,1.2334486832618716,1.0,2.0,0.75
265,3,1.9054486832618587,1.0,4.0,1.0
266,3,2.2164486832618246,0.0,-2.0,0.5
267,3,2.3514486832618093,0.0,-1.0,0.5
268,3,1.8794486832618615,0.0,0.0,-0.25
269,3,1.755448683261872,0.0,-2.0,0.25
270,3,1.3494486832618717,0.0,1.0,-0.25
271,3,1.476448683261872,1.0,-1.0,-0.25
272,3,1.4994486832618719,1.0,0.0,0.0
273,3,1.531448683261872,1.0,-1.0,1.0
274,3,1.2894486832618717,0.0,2.0,0.25
275,3,3.195448683261717,1.0,2.0,1.0
276,3,1.508448683261872,0.0,-1.0,1.0
