,sbj,rt,ch,value_diff,gaze_diff,right
0,0,0.9268319289684299,1.0,-2.0,-0.75,0
1,0,0.9318319289684299,0.0,-4.0,-0.5,0
2,0,1.01083192896843,0.0,0.0,0.0,0
3,0,1.40583192896843,2.0,0.0,-0.25,1
4,0,1.0318319289684301,0.0,0.0,-0.75,0
5,0,1.932831928968372,2.0,0.0,0.0,1
6,0,0.7708319289684298,2.0,6.0,-0.25,1
7,0,0.7298319289684299,2.0,6.0,0.0,1
8,0,0.96583192896843,2.0,6.0,0.25,1
9,0,2.348831928968326,1.0,2.0,-0.75,0
10,0,0.83983192896843,1.0,4.0,-0.5,0
11,0,1.02183192896843,1.0,-4.0,-0.25,0
12,0,0.98583192896843,1.0,-2.0,-0.5,0
13,0,1.09683192896843,2.0,-2.0,0.0,1
14,0,0.99383192896843,2.0,4.0,0.0,1
15,0,1.1548319289684301,2.0,4.0,-0.5,1
16,0,1.10183192896843,2.0,4.0,0.0,1
17,0,1.3228319289684303,2.0,0.0,-0.75,1
18,0,1.1928319289684302,1.0,-4.0,0.0,0
19,0,1.1638319289684302,2.0,2.0,-0.5,1
20,0,1.1868319289684301,0.0,-4.0,-1.0,0
21,0,0.8908319289684299,1.0,-2.0,-0.5,0
22,0,1.4708319289684229,2.0,0.0,0.0,1
23,0,1.06683192896843,1.0,2.0,-0.75,0
24,0,1.08883192896843,2.0,2.0,0.5,1
25,0,0.7998319289684299,2.0,6.0,-0.25,1
26,0,1.2028319289684302,0.0,-2.0,-0.5,0
27,0,1.3048319289684303,2.0,4.0,-0.5,1
28,0,1.487831928968421,0.0,-2.0,-0.25,0
29,0,1.0358319289684301,1.0,-4.0,0.0,0
30,0,1.2198319289684303,0.0,0.0,-0.75,0
31,0,0.98883192896843,1.0,-4.0,-0.25,0
32,0,1.5168319289684178,0.0,-2.0,-0.75,0
33,0,1.2158319289684303,1.0,-2.0,-0.75,0
34,0,1.04083192896843,1.0,-4.0,-0.25,0
